,title,date,comments,companies,languages,original_size,repack_size
0,PORNO STUDIO TYCOON – V1.2017.05.05,06/05/2017,110,Zitrix Megalomedia,RUS/ENG,1.7 GB,496 MB
1,WORLD TO THE WEST,06/05/2017,21,Rain Games / Soedesco,ENG/MULTI9,2.2 GB,660 MB
2,ARC CONTINUUM,05/05/2017,36,Akimbo Creations,ENG,3.8 GB,2.6 GB
3,THE LEGEND OF HEROES: TRAILS IN THE SKY THE 3RD + HOTFIX,04/05/2017,66,Nihon Falcom / Marvelous USA,ENG,3.7 GB,2.7 GB
4,MX VS. ATV SUPERCROSS ENCORE + 31 DLCS,04/05/2017,57,"Rainbow Studios, Nordic Games, Nordic Games",ENG/MULTI5,11.3 GB,from 1.9 GB
5,EXPEDITIONS: VIKING – V1.0.1,29/04/2017,108,Logic Artists,RUS/ENG/MULTI5,10.8 GB,3.8 GB
6,IMMORTAL REDNECK – V1.1.1,28/04/2017,18,CremaGames,RUS/ENG/MULTI8,1.9 GB,1.4 GB
7,BLAZBLUE: CENTRAL FICTION – V1.01,28/04/2017,72,Arc System Works,ENG/MULTI5,28.8 GB,14.3/14.5 GB
8,DE BLOB,28/04/2017,35,Blue Tongue Entertainment / THQ Nordic,ENG/MULTI12,4.7 GB,2.7 GB
9,"SLICE, DICE & RICE",28/04/2017,28,Dojo Games / PlayWay,ENG/MULTI3,1.8 GB,435 MB
10,OUTLAST 2,26/04/2017,438,Red Barrels,RUS/ENG/MULTI9,23.4 GB,from 12.8 GB
11,X REBIRTH – V4.10 + 2 DLCS,23/04/2017,61,Egosoft,RUS/ENG/MULTI6,10.9 GB,from 3.5 GB
12,SHINESS: THE LIGHTNING KINGDOM – V1.01 + MAHERIAN LANGUAGE PACK DLC,20/04/2017,66,Ynnis Interactive / Focus Home Interactive,ENG,8.6 GB,6.4 GB
13,LATE SHIFT,20/04/2017,101,CtrlMovie / Wales Interactive,ENG/MULTI4,14.4 GB,7 GB
14,FULL THROTTLE REMASTERED,19/04/2017,34,"LucasArts, Double Fine, Disney Interactive",ENG/MULTI6,4.3 GB,from 2.4 GB
15,ASSASSIN’S CREED: UNITY – V1.5.0 + ALL DLCS,18/04/2017,2429,Ubisoft All-Around-The-World / Ubisoft Entertainment,RUS/ENG/MULTI14,51.2 GB,from 31.2 GB
16,BAYONETTA 2,16/04/2017,319,PlatinumGames / Nintendo of America,ENG/MULTI6,23.3 GB,from 4.4 GB
17,MR. SHIFTY,15/04/2017,84,Team Shifty / tinyBuild,ENG/MULTI6,1.7 GB,538 MB
18,SHOCK TACTICS + HOTFIX,15/04/2017,31,Point Blank Games / EuroVideo Medien,RUS/ENG/MULTI6,6.7 GB,2.6 GB
19,2DARK,13/04/2017,82,Gloomywood / Bigben Interactive,ENG/MULTI8,533 MB,381 MB
20,BAYONETTA,13/04/2017,362,PlatinumGames,ENG/MULTI6,12 GB,from 6.1 GB
21,PLANESCAPE: TORMENT – ENHANCED EDITION – V3.0.3.0,12/04/2017,65,"Black Isle Studios, Beamdog",ENG/MULTI5,1.4 GB,1.1 GB
22,THE SEXY BRUTALE,12/04/2017,69,Cavalier Game Studios / Tequila Works,ENG/MULTI5,1.4 GB,1 GB
23,DARKSIDERS: WARMASTERED EDITION + UPDATE 11 (V1.00 CS:2617),10/04/2017,267,"Vigil Games, Gunfire Games, THQ Nordic",RUS/ENG/MULTI11,21.9 GB,15.7 GB
24,LEGO CITY UNDERCOVER + UPDATE 1,09/04/2017,139,"TT Games, Warner Bros. Interactive Entertainment",RUS/ENG/MULTI12,17.3 GB,from 5.3 GB
25,FLATOUT 4: TOTAL INSANITY + FREE MULTIPLAYER,08/04/2017,163,"Kylotonn Entertainment, Tiny Rebel Games, Bigben Interactive",RUS/ENG/MULTI8,7.5 GB,3.3 GB
26,SNAKE PASS,30/03/2017,31,Sumo Digital,ENG/MULTI5,2.1 GB,928 MB
27,SENRAN KAGURA ESTIVAL VERSUS + 13 DLCS,27/03/2017,184,Tamsoft / Marvelous,ENG/MULTI4,9.9 GB,from 5.2 GB
28,TROLL AND I + UPDATE 2,26/03/2017,89,Spiral House / Maximum Games,ENG/MULTI6,11.3 GB,6.4 GB
29,VIKINGS: WOLVES OF MIDGARD,25/03/2017,127,Games Farm / Kalypso Media,RUS/ENG/MULTI9,4.9 GB,from 2.4 GB
30,TOUKIDEN 2 – V1.0.1 + ALL DLCS,23/03/2017,307,Omega Force / Koei Tecmo,ENG/JAP,10 GB,from 5.2 GB
31,L.A. NOIRE: THE COMPLETE EDITION – V1.3.2617 + ALL DLCS,20/03/2017,836,Team Bondi / Rockstar Games,RUS/ENG/MULTI6,12.9 GB,11 GB
32,KONA,20/03/2017,76,Parabole,ENG/MULTI5,4.8 GB,1.4 GB
33,ONE SOLE PURPOSE,10/03/2017,63,Sameer Hirezi,ENG,15.1 GB,6.5 GB
34,NEED FOR SPEED: MOST WANTED – LIMITED EDITION – V.1.5.0.0 + ALL DLCS,10/03/2017,859,Criterion Games / Electronic Arts,RUS/ENG/MULTI10,7.4 GB,2.5/2.6 GB
35,LEGO WORLDS,09/03/2017,120,TT Games / Warner Bros. Interactive Entertainment,RUS/ENG/MULTI20,2.1 GB,from 861 MB
36,ATELIER FIRIS: THE ALCHEMIST AND THE MYSTERIOUS JOURNEY – V1.0.0.9 + 2 DLCS,09/03/2017,116,Gust / Tecmo Koei,ENG/JAP,17 GB,from 7 GB
37,SHIFT HAPPENS,08/03/2017,97,"Klonk Games, Deck13, FFF Bayern",RUS/ENG/MULTI5,1.7 GB,1 GB
38,ULTIMATE MARVEL VS. CAPCOM 3,08/03/2017,163,Capcom,ENG/MULTI6,2.4 GB,1.7 GB
39,LARA CROFT GO + THE MIRROR OF SPIRITS,06/03/2017,149,Square Enix Montreal / Square Enix,RUS/ENG/MULTI7,1.4 GB,355 MB
40,JUST CAUSE 3: XL EDITION – V1.05 + ALL DLCS,28/02/2017,1484,"Avalanche Studios, Square Enix London Studios, Square Enix",RUS/ENG/MULTI10,60.3 GB,from 16.7 GB
41,GUILTY GEAR XRD -REVELATOR- DIGITAL DELUXE EDITION – V1.01 + 7 DLC,27/02/2017,114,Arc System Works,ENG/MULTI5,10.1 GB,from 4.4 GB
42,NIGHT IN THE WOODS,25/02/2017,81,Infinite Ammo,ENG,2.1 GB,1.1 GB
43,BERSERK AND THE BAND OF THE HAWK + 6 DLCS,22/02/2017,220,Omega Force / Koei Tecmo America,ENG,16.1 GB,10.7 GB
44,FAIRY FENCER F: ADVENT DARK FORCE – BUILD.20170218 + ALL DLCS,22/02/2017,118,Compile Heart / Idea Factory International,ENG/MULTI3,9.1 GB,from 3.1 GB
45,TALES OF BERSERIA – V1.48.00#193 + 12 DLCS,18/02/2017,449,Bandai Namco Studios,RUS/ENG/MULTI7,13.7 GB,from 5.7 GB
46,NIGHTS OF AZURE + UPDATE 1,16/02/2017,129,Gust / Koei Tecmo Games,ENG,4.9 GB,2.4 GB
47,HUSK + UPDATE 3,15/02/2017,30,UndeadScout / IMGN.PRO,RUS/ENG/MULTI8,12.6 GB,8.3 GB
48,WWE 2K17: DIGITAL DELUXE EDITION + 6 DLC + UPDATE 1,12/02/2017,563,"Yuke’s, Visual Concepts, 2K Sports",ENG/MULTI6,45.2 GB,23.7/25.8 GB
49,TAKE ON MARS – V1.0.0001,12/02/2017,69,Bohemia Interactive,ENG,4.9 GB,3.9 GB
50,PHONING HOME + UPDATE 1,10/02/2017,231,Ion Lands,RUS/ENG/MULTI5,4 GB,2.2 GB
51,BATTLEFIELD 1: DIGITAL DELUXE EDITION – UPDATE 3 + 3 DLC,08/02/2017,2251,DICE / EA,RUS/ENG/MULTI12,50 GB,16.6/25.8 GB
52,YOUTUBERS LIFE,03/02/2017,290,U-Play Studios,RUS/ENG/MULTI16,995 MB,720 MB
53,EADOR: IMPERIUM,29/01/2017,92,Snowbird Game Studios,RUS/ENG/GER,2.3 GB,580 MB
54,ROCKETBIRDS 2: EVOLUTION,27/01/2017,63,Ratloop Asia / Reverb Triple XP,ENG/MULTI11,4.8 GB,2.2 GB
55,GOD EATER 2: RAGE BURST,24/01/2017,241,Shift / Bandai Namco Games,RUS/ENG/MULTI6,14.1 GB,from 3.9 GB
56,DISNEY INFINITY: GOLD COLLECTION – 1.0 + 2.0 + 3.0,11/01/2017,248,"Avalanche Software, Disney Interactive Studios",RUS/ENG/MULTI8,27.7 GB,from 14 GB
57,FAR CRY: PRIMAL – APEX EDITION – V1.3.3 + ALL DLCS + ULTRA HD TEXTURES,09/01/2017,1123,"Ubisoft Montreal, Ubisoft Entertainment",RUS/ENG/MULTI19,19.6 GB,9.5/12.1 GB
58,SPEC OPS: THE LINE + 2 DLC + MULTIPLAYER,07/01/2017,340,"Yager Development, Darkside Game Studios, 2K Games",RUS/ENG/MULTI7,6.1 GB,4.4 GB
59,CALL OF DUTY: BLACK OPS + ALL DLCS + ZOMBIES + MULTIPLAYER,06/01/2017,1906,Treyarch / Activision,RUS/ENG/MULTI6,22.1 GB,7~7.3 GB
60,MOTOGP 14: COMPLETE EDITION – V1.001 + 4 DLCS,04/01/2017,86,Milestone / PQube,ENG/MULTI6,14.8 GB,7.8 GB
61,NEED FOR SPEED: HOT PURSUIT – V1.0.5.0S + ALL DLCS,31/12/2016,510,Criterion Games / Electronic Arts,RUS/ENG/MULTI12,7.7 GB,3.9 GB
62,CHAMPIONS OF ANTERIA – V1.7.499537.X + ALL DLCS,29/12/2016,133,Blue Byte / Ubisoft Entertainment,RUS/ENG/MULTI7,8.9 GB,6.8/6.9 GB
63,THE BUTTERFLY SIGN – V1.1.2/UPDATE 5,17/12/2016,41,Quantum Phoenix,RUS/ENG/MULTI4,9.7 GB,7.3 GB
64,SNIPER ELITE 3 – V1.15A + ALL DLCS + MULTIPLAYER,15/12/2016,305,Rebellion Developments / 505 Games,RUS/ENG/MULTI9,20.6 GB,8.5 GB
65,FILTHY LUCRE + CRACKFIX + MULTIPLAYER,15/12/2016,48,Fabrik Games,RUS/ENG/MULTI14,3.8 GB,2.1 GB
66,MINIATURE: THE STORY PUZZLE,13/12/2016,54,purpleElephant,ENG,1.7 GB,1 GB
67,YU-GI-OH! LEGACY OF THE DUELIST + 18 DLCS + MULTIPLAYER,11/12/2016,298,Other Ocean / Konami Digital Entertainment,ENG/MULTI5,1.1 GB,577 MB
68,AQUA MOTO RACING UTOPIA,11/12/2016,28,Zordix,RUS/ENG/MULTI9,4.4 GB,2.4 GB
69,THE DESCENDANT: FULL SEASON (EPISODES 1-5),09/12/2016,45,Gaming Corps,ENG/MULTI5,6.9 GB,4 GB
70,MASTER OF ORION: COLLECTOR’S EDITION + REVENGE OF ANTARES + BONUS CONTENT,09/12/2016,57,NGD Studios / Wargaming,RUS/ENG/MULTI11,4.5 GB,from 2.3 GB
71,SHADOW TACTICS: BLADES OF THE SHOGUN – V1.1.2.F,07/12/2016,113,Mimimi Productions / Daedalic Entertainment,RUS/ENG/MULTI10,9 GB,4 GB
72,MAIZE,07/12/2016,38,Finish Line Games,ENG,6.5 GB,3.8 GB
73,THE DWARVES – V1.1.2.57,04/12/2016,38,KING Art / EuroVideo Medien,RUS/ENG/MULTI8,10.3 GB,from 6.1 GB
74,METAL GEAR SOLID V: GROUND ZEROES – V1.0.0.5 + CRACKFIX,30/11/2016,238,Kojima Productions / Konami,RUS/ENG/MULTI8,4.5 GB,1.8 GB
75,"LEGO STAR WARS: THE FORCE AWAKENS, V1.03 (BUILD 1.0.0.33084) + 12 DLCS",27/11/2016,97,TT Games / Warner Bros. Interactive Entertainment,RUS/ENG/MULTI10,18.7 GB,from 7 GB
76,ALICE VR – V.1.2.4.1,19/11/2016,35,Carbon Studio / Klabater,RUS/ENG/MULTI6,9.3 GB,6.2 GB
77,TRILLION: GOD OF DESTRUCTION + DELUXE PACK DLC,18/11/2016,44,Idea Factory / Compile Heart,ENG/JAP,7 GB,4.6/4.7 GB
78,RENOIR,17/11/2016,12,Soulbound Games / Black Wing Foundation / 1C Publishing EU,RUS/ENG/MULTI10,1.4 GB,1 GB
79,ROLLERCOASTER TYCOON WORLD – V61951,17/11/2016,41,Nvizzio Creations / Atari,RUS/ENG/MULTI10,4 GB,2.1 GB
80,NOBUNAGA’S AMBITION: SPHERE OF INFLUENCE – ASCENSION + 9 DLCS,16/11/2016,94,Tecmo Koei / Koei Tecmo,ENG/JAP/CHT,8.5 GB,from 3.2 GB
81,LANTERN,15/11/2016,5,Storm in a Teacup / 1C Publishing EU,RUS/ENG/MULTI6,1 GB,638 MB
82,MEKAZOO,15/11/2016,10,The Good Mood Creators,RUS/ENG/MULTI27,7.3 GB,1.9 GB
83,SILENCE: THE WHISPERED WORLD 2 – V1.1.20227,15/11/2016,20,Daedalic Entertainment,RUS/ENG/MULTI12,4.3 GB,from 2.5 GB
84,TRANSPORT FEVER – BUILD 11908,14/11/2016,44,Urban Games / Gambitious Digital Entertainment,RUS/ENG/MULTI7,5 GB,3.7/3.9 GB
85,CALL OF DUTY: INFINITE WARFARE – DIGITAL DELUXE EDITION,14/11/2016,1292,Infinity Ward / Activision,RUS/ENG/MULTI10,94.8 GB,from 37.7 GB
86,YESTERDAY ORIGINS + UPDATE 1,13/11/2016,49,Pendulo Studios / Microids,RUS/ENG/MULTI8,3.2 GB,2.8 GB
87,CANDLE,13/11/2016,21,Teku Studios / Daedalic Entertainment,RUS/ENG/MULTI10,5.3 GB,from 1.9 GB
88,GOD EATER: RESURRECTION,10/11/2016,366,Shift / Bandai Namco,RUS/ENG/MULTI6,14.2 GB,4.7 GB
89,CALL OF DUTY: MODERN WARFARE – REMASTERED + UPDATE 2,09/11/2016,1590,"Raven Software, Infinity Ward, Activision",RUS/ENG/MULTI10,58.1 GB,from 26.4 GB
90,EISENWALD: BLOOD OF NOVEMBER,02/11/2016,1,Aterdux Entertainment,RUS/ENG/MULTI4,1.3 GB,819 MB
91,CARMAGEDDON: MAX DAMAGE – THE U.S. ELECTION NIGHTMARE SPECIAL EDITION,01/11/2016,52,Stainless Games,RUS/ENG/MULTI6,10 GB,5.5 GB
92,PRO EVOLUTION SOCCER 2017 – V1.01.00,31/10/2016,521,Konami Digital Entertainment,RUS/ENG/MULTI17,11.6 GB,from 3.1 GB
93,EMERGENCY 2017,31/10/2016,32,Sixteen Tons Entertainment / Ravenscourt,ENG/MULTI5,7.7 GB,from 3.7 GB
94,FARMING SIMULATOR 17 – V1.2.1 + 5 DLCS + 2 MODS,28/10/2016,166,GIANTS Software / Focus Home Interactive,RUS/ENG/MULTI18,4.2 GB,3.2 GB
95,THROUGH THE WOODS + HOTFIX,28/10/2016,38,Antagonist / 1C Publishing EU,RUS/ENG/MULTI7,5 GB,3.4 GB
96,KING’S QUEST: THE COMPLETE COLLECTION (CHAPTERS 1-5),26/10/2016,67,The Odd Gentlemen / Sierra,ENG/FRA/GER,23.2 GB,from 4 GB
97,QUANTUM BREAK – LIVE SERIES OFFLINE ADD-ON,21/10/2016,186,Remedy Entertainment,RUS/ENG/MULTI10,104.6 GB,from 53.9 GB
98,MASQUERADA: SONGS AND SHADOWS – V1.10 GOG DRM-FREE,20/10/2016,30,Witching Hour Studios / Ysbryd Games,ENG,6.5 GB,5.3 GB
99,CRAZY MACHINES 3,18/10/2016,16,FAKT Software / Daedalic Entertainment,RUS/ENG/MULTI11,2.3 GB,1.6 GB
100,CALL OF DUTY: MODERN WARFARE 2 + 2 DLC,18/10/2016,1118,Infinity Ward / Activision,RUS/ENG/MULTI7,40.6 GB,from 6.6 GB
101,DUKE NUKEM 3D: 20TH ANNIVERSARY WORLD TOUR,12/10/2016,150,"3D Realms, Gearbox Software, Nerve Software",RUS/ENG/MULTI8,1.1 GB,950 MB
102,"DUKE GRABOWSKI, MIGHTY SWASHBUCKLER",11/10/2016,13,Venture Moon Industries / Alliance Digital Media,ENG/GER,3.6 GB,1.3 GB
103,RIDE 2 + 2 DLC,11/10/2016,127,Milestone / PQube,ENG/MULTI6,26.5 GB,15.6 GB
104,SYNDROME V1.03F,11/10/2016,64,Camel 101 / Bigmoon Entertainment,RUS/ENG/MULTI8,3.7 GB,2.2 GB (ENG/RUS) / 2.5 GB (MULTI8)
105,MORTAL KOMBAT XL,06/10/2016,835,"NetherRealm Studios, High Voltage Software, Warner Bros.",RUS/ENG/MULTI8,38.8 GB,from 23 GB
106,MEGATAGMENSION BLANC + NEPTUNE VS ZOMBIES – DELUXE EDITION – V1.01 (UPDATE 1),05/10/2016,33,"Idea Factory, Compile Heart, Tamsoft",ENG/JAP,1.7 GB,from 950 MB
107,MIRROR’S EDGE: CATALYST – V1.0.3.47248 + 2 DLC,05/10/2016,354,DICE / EA,RUS/ENG/MULTI9,23.2 GB,16.7 GB
108,"HYBRID WARS: DELUXE EDITION – WORKING CO-OP, 3 CHARS, BONUS CONTENT",30/09/2016,51,Extreme Developers / Wargaming,RUS/ENG/MULTI6,5.6 GB,from 2.8 GB
109,ALIENS VS. PREDATOR + 2 DLC,29/09/2016,217,Rebellion Developments / Sega,RUS/ENG/MULTI8,18.3 GB,from 4.1 GB
110,EARTHLOCK: FESTIVAL OF MAGIC,27/09/2016,39,SnowCastle Games,ENG,2.4 GB,1.3 GB
111,THE SABOTEUR – GOG DRM-FREE,26/09/2016,122,Pandemic Studios / EA,RUS/ENG/MULTI6,5.5 GB,from 2.3 GB
112,NBA 2K17 + UPDATE 1 [FIXED REPACK],25/09/2016,653,Visual Concepts / 2K Sports,ENG/MULTI8,53.6 GB,from 33.1 GB
113,SPORE COLLECTION – GOG DRM-FREE,25/09/2016,135,Maxis / Electronic Arts,RUS/ENG/MULTI19,4.8 GB,4 GB
114,SORCERER KING: RIVALS,23/09/2016,23,Stardock,ENG,3.4 GB,2.6 GB
115,"MIRROR’S EDGE, GOG DRM-FREE V1.0.1.0",23/09/2016,163,DICE / Electronic Arts,RUS/ENG/MULTI10,5.6 GB,3.7 GB
116,IN FEAR I TRUST: EPISODES 1-4 COLLECTION PACK,22/09/2016,17,"Black Wing Foundation, Turn Me Up Games, 1C",RUS/ENG/FRE,2.8 GB,2.3 GB
117,VIRGINIA,22/09/2016,20,Variable State / 505 Games,RUS/ENG/MULTI13,2 GB,1.1 GB
118,COSSACKS 3 – V1.0.0.46 (UPDATE 3),21/09/2016,96,GSC Game World,RUS/ENG/MULTI7,1.3 GB,706 MB
119,ZENITH,21/09/2016,2,"Infinigon, BadLand Indie",RUS/ENG/MULTI6,2.4 GB,1.8 GB
120,THE BUNKER,21/09/2016,30,"Splendy Interactive, Wales Interactive, Green Man Loaded",ENG,9.9 GB,4.7/4.8 GB
121,MAFIA 2: DIGITAL DELUXE EDITION V.1.0.0.1,19/09/2016,478,2K Czech / 2K Games,RUS/ENG/MULTI8,8 GB,from 4 GB
122,STEINS;GATE – STEAM HD EDITION,16/09/2016,76,"5pb. Games, Nitroplus",ENG/JAP,5.7 GB,from 3.9 GB
123,SPACE ROGUE – V1.45.7805_124240,15/09/2016,24,Red Beat,RUS/ENG/GER,673 MB,323 MB
124,EVENT[0],15/09/2016,46,Ocelot Society,ENG,2.8 GB,1.5 GB
125,MINECRAFT: STORY MODE – COMPLETE SEASON (EPISODES 1-8),15/09/2016,145,Telltale Games,RUS/ENG/MULTI7,5.6 GB,3.1 GB
126,DEAD RISING + ALL DLCS + HOTFIX,14/09/2016,166,Capcom Production Studio 1 / Capcom,RUS/ENG/MULTI7,6.2 GB,2.3 GB
127,EMBER,11/09/2016,30,N-Fusion Interactive / 505 Games,ENG,4.5 GB,2.7 GB
128,LIVELOCK – V25031,09/09/2016,24,Tuque Games / Perfect World,RUS/ENG/MULTI4,9.7 GB,from 4.4 GB
129,HOW TO SURVIVE 2 + 3 DLC,09/09/2016,46,Eko Software / 505 Games,RUS/ENG/MULTI12,2.9 GB,1.7 GB
130,GRID AUTOSPORT – COMPLETE – V1.0.103.1840 + ALL DLCS,05/09/2016,202,Codemasters,RUS/ENG/MULTI9,13.6 GB,from 5.6 GB
131,MOTHER RUSSIA BLEEDS,05/09/2016,26,RUS/ENG/MULTI7,1.7 GB,1.7 GB,637 MB
132,KANE & LYNCH 2: DOG DAYS – COMPLETE,05/09/2016,89,IO Interactive / Square Enix,RUS/ENG/MULTI7,7.7 GB,from 3 GB
133,REDOUT,04/09/2016,47,34BigThings,RUS/ENG/MULTI7,5.5 GB,3.05 GB
134,FARM EXPERT 2017 – V1.106 PROPER,03/09/2016,52,Silden / PlayWay,ENG/MULTI8,5.8 GB,3.4 GB
135,SEASONS AFTER FALL,02/09/2016,41,Swing Swing Submarine / Focus Home Interactive,ENG/MULTI5,1.4 GB,1.07 GB
136,ASSAULT SUIT LEYNOS,02/09/2016,6,Dracue Software / Rising Star Games,ENG/MULTI6,3.3 GB,1.3 GB
137,ONE PIECE: BURNING BLOOD – GOLD EDITION (ALL DLCS),02/09/2016,161,Spike Chunsoft / Bandai Namco,RUS/ENG/MULTI10,9.4 GB,from 6.1 GB
138,OBDUCTION + UPDATE 1 (HOT FIX),01/09/2016,29,Cyan,RUS/ENG/MULTI7,10.8 GB,4.4 GB
139,THE TURING TEST: COLLECTOR’S EDITION,31/08/2016,64,Bulkhead Interactive / Square Enix,ENG,5.8 GB,from 2.76 GB
140,MUGEN SOULS Z + 12 DLC,29/08/2016,33,Compile Heart / Ghostlight,ENG/JAP,4.1 GB,2.7 GB
141,ATTACK ON TITAN / A.O.T.: WINGS OF FREEDOM + ALL DLCS,27/08/2016,399,Omega Force / Koei Tecmo,ENG/MULTI3,11.3 GB,from 5.4 GB
142,"WARHAMMER 40,000: SPACE MARINE COLLECTION – V1.0.165 + ALL DLCS",25/08/2016,155,Relic / SEGA,RUS/ENG/MULTI9,8.8 GB,2.1 GB
143,INSIDE + PROPER CPY CRACK,23/08/2016,174,Playdead,RUS/ENG/MULTI14,2.3 GB,939 MB
144,CONCEPTION II: CHILDREN OF THE SEVEN STARS,17/08/2016,57,Spike Chunsoft,ENG/JAP,4.4 GB,from 1.17 GB
145,PHANTARUK,16/08/2016,26,Polyslash,RUS/ENG/MULTI4,3 GB,1.55 GB
146,GROW UP,16/08/2016,28,Ubisoft Reflections / Ubisoft Entertainment,RUS/ENG/MULTI6,552 MB,329 MB
147,RAY GIGANT,16/08/2016,12,Experience / acttil,ENG/JAP,3.3 GB,1.6 GB
148,PRO PINBALL: TIMESHOCK! – THE ULTRA EDITION,15/08/2016,38,Barnstorm Games,ENG,52 GB,147 GB unpacked (!!!)
149,8-BIT HORDES: COMPLETE EDITION – BUILD 618157,14/08/2016,48,Petroglyph Games,RUS/ENG/MULTI6,779 MB,430 MB
150,XBLAZE LOST: MEMORIES,12/08/2016,6,ENG/JAP,5.7 GB,5.7 GB,2.5 GB
151,SNIPER BLACKLIST,12/08/2016,25,ENG,9.8 GB,9.8 GB,5.3 GB
152,MERIDIAN: SQUAD 22 + HOTFIX 2,12/08/2016,14,ENG/HUN,3.3 GB,3.3 GB,1.9 GB
153,EISENHORN: XENOS,12/08/2016,9,ENG,7.4 GB,7.4 GB,5.4 GB
154,"MEGADIMENSION NEPTUNIA VII + UPDATE 2 + 14 DLC, FIXED",04/08/2016,132,ENG/JAP,13.3 GB,13.3 GB,from 4.4 GB
155,ODDWORLD: MUNCH’S ODDYSEE HD + UPDATE 14,03/08/2016,12,ENG,1.63 GB,1.63 GB,1.22 GB
156,LAYERS OF FEAR V1.1.0 + INHERITANCE DLC,02/08/2016,29,RUS/ENG/MULTI11,2.5 GB,2.5 GB,1.4 GB
157,THIS IS THE POLICE V1.0.24,02/08/2016,8,RUS/ENG/GER,1.34 GB,1.34 GB,973 MB
158,DANGEROUS GOLF V1.02,31/07/2016,18,ENG/MULTI5,8 GB,8 GB,5.4 GB
159,BLADE ARCUS FROM SHINING: BATTLE ARENA,31/07/2016,14,ENG/JAP,2.1 GB,2.1 GB,1.3 GB
160,I AM WEAPON: REVIVAL,31/07/2016,3,RUS/ENG/MULTI4,2.79 GB,2.79 GB,1.88 GB
161,STEAM SQUAD,30/07/2016,2,RUS/ENG,1.3 GB,1.3 GB,861 MB
162,MARVEL: ULTIMATE ALLIANCE BUNDLE – 1 + 2,30/07/2016,129,ENG/ITA,10 GB,10 GB,7.4 GB
163,HEADLANDER,30/07/2016,6,RUS/ENG/MULTI6,3 GB,3 GB,1.9 GB
164,DRAGON AGE: ORIGINS – ULTIMATE EDITION – GOG VERSION,29/07/2016,283,RUS/ENG/MULTI9,22.1 GB,22.1 GB,from 8.7 GB
165,THE ASSEMBLY + VR DLC,29/07/2016,5,ENG/GER/FRE,3.7 GB,3.7 GB,2.6 GB
166,EARTH DEFENSE FORCE 4.1: THE SHADOW OF NEW DESPAIR,29/07/2016,21,ENG/JAP,6.6 GB,6.6 GB,from 3 GB
167,GHOSTBUSTERS + DLC,29/07/2016,14,ENG/MULTI5,3.7 GB,3.7 GB,2.2 GB
168,GAS GUZZLERS EXTREME: GOLD PACK V1.8.0.0 + 2 DLCS,29/07/2016,15,RUS/ENG/MULTI11,6.1 GB,6.1 GB,5.1 GB
169,LEGO MARVEL’S AVENGERS V1.0.0.28133 + 11 DLC,29/07/2016,74,RUS/ENG/MULTI12,14.4 GB,14.4 GB,from 5.7 GB
170,RUGBY CHALLENGE 3,29/07/2016,16,ENG/MULTI4,5.4 GB,5.4 GB,from 2.2 GB
171,ROMANCE OF THE THREE KINGDOMS 13 + 40 DLC,29/07/2016,42,ENG/MULTI4,6.9 GB,6.9 GB,from 3.2 GB
172,DEAD BY DAYLIGHT V1.0.2 HOTFIX 2,29/07/2016,69,ENG,7.6 GB,7.6 GB,2.5 GB
173,ZERO ESCAPE: ZERO TIME DILEMMA,29/07/2016,6,ENG/JAP,2 GB,2 GB,from 698 MB
174,THE TECHNOMANCER,29/07/2016,9,ENG/MULTI6,8.7 GB,8.7 GB,from 5.7 GB
175,BATTLEFLEET GOTHIC: ARMADA V1.5.8536 + SPACE MARINES DLC,29/07/2016,17,ENG,10.9 GB,10.9 GB,3.9 GB
176,MORDHEIM: CITY OF THE DAMNED V1.3.4.2 + 5 DLC,28/07/2016,11,RUS/ENG/MULTI7,9.5 GB,9.5 GB,3/3.1 GB
177,35MM V1.1,28/07/2016,15,RUS/ENG,2 GB,2 GB,1.1 GB
178,MIGHTY NO. 9 + 4 DLC,28/07/2016,4,RUS/ENG/MULTI11,1.7 GB,1.7 GB,856 MB
179,DEADLIGHT: DIRECTOR’S CUT,28/07/2016,10,ENG/MULTI5,4.2 GB,4.2 GB,from 2.1 GB
180,DEATHTRAP V1.0.6,28/07/2016,2,RUS/ENG/MULTI10,4.1 GB,4.1 GB,1.6 GB
181,PRO CYCLING MANAGER SEASON 2016,28/07/2016,1,ENG/MULTI10,6.2 GB,6.2 GB,from 3.2 GB
182,VALENTINO ROSSI: THE GAME,28/07/2016,25,ENG/MULTI6,16.8 GB,16.8 GB,8.2/8.3 GB
183,THE WITCHER 3: WILD HUNT – PATCH FROM V1.21 TO V1.22,28/07/2016,46,RUS/ENG/MULTI14,2.7 GB,2.7 GB,327 MB
184,TRIALS OF THE BLOOD DRAGON,28/07/2016,23,RUS/ENG/MULTI10,15.3 GB,15.3 GB,11 GB
185,HOMEWORLD REMASTERED COLLECTION V2.1,28/07/2016,42,RUS/ENG/MULTI6,6.9 GB,6.9 GB,4.3 GB
186,PRO EVOLUTION SOCCER 2016 V1.05 + DATA PACK 4.0,28/07/2016,95,RUS/ENG/MULTI17,12 GB,12 GB,3.3~3.6 GB
187,DUCATI: 90TH ANNIVERSARY,28/07/2016,5,ENG/MULTI7,9.5 GB,9.5 GB,5.7 GB
188,TRON RUN/R: ULTIMATE EDITION + 5 DLC,28/07/2016,27,ENG/MULTI6,10.2 GB,10.2 GB,6.5 GB
